                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.87907,                0.42614,                0.99597,                0.99345,                0.99802,                  0.995,                0.71445,                 0.8573,                0.38891,                 1.0558,              0.0014882,              0.0014882,              0.0014882
                    121,                0.72338,                0.37927,                 0.9357,                0.99345,                0.99802,                  0.995,                0.71445,                 0.8573,                0.38891,                 1.0558,              0.0014867,              0.0014867,              0.0014867
                    122,                0.76323,                0.38707,                0.96776,                0.99478,                0.99819,                  0.995,                0.71247,                0.87192,                0.39243,                 1.0696,              0.0014852,              0.0014852,              0.0014852
                    123,                0.95437,                0.45738,                0.96773,                0.99478,                0.99819,                  0.995,                0.71247,                0.87192,                0.39243,                 1.0696,              0.0014837,              0.0014837,              0.0014837
                    124,                0.84218,                0.44022,                0.98394,                0.99421,                0.99788,                  0.995,                0.71698,                0.83794,                0.39462,                 1.0515,              0.0014822,              0.0014822,              0.0014822
                    125,                0.83548,                0.42095,                0.99268,                0.99421,                0.99788,                  0.995,                0.71698,                0.83794,                0.39462,                 1.0515,              0.0014807,              0.0014807,              0.0014807
                    126,                0.78445,                0.40014,                0.93338,                0.99657,                0.99931,                  0.995,                0.71529,                 0.8324,                0.37556,                 1.0456,              0.0014792,              0.0014792,              0.0014792
                    127,                0.76848,                0.40481,                0.94368,                0.99657,                0.99931,                  0.995,                0.71529,                 0.8324,                0.37556,                 1.0456,              0.0014776,              0.0014776,              0.0014776
                    128,                 0.8515,                0.43635,                0.95257,                0.99752,                      1,                  0.995,                0.70877,                0.83386,                 0.3752,                 1.0431,              0.0014761,              0.0014761,              0.0014761
                    129,                 0.8609,                0.43368,                0.98454,                0.99752,                      1,                  0.995,                0.70877,                0.83386,                 0.3752,                 1.0431,              0.0014746,              0.0014746,              0.0014746
                    130,                0.73435,                0.40062,                0.96755,                0.99787,                      1,                  0.995,                0.70801,                0.87685,                0.38485,                 1.0675,              0.0014731,              0.0014731,              0.0014731
                    131,                0.81556,                0.41787,                0.96589,                0.99787,                      1,                  0.995,                0.70801,                0.87685,                0.38485,                 1.0675,              0.0014716,              0.0014716,              0.0014716
                    132,                0.74255,                0.37925,                0.94136,                0.99743,                      1,                  0.995,                 0.6938,                0.90555,                0.39438,                 1.0818,              0.0014701,              0.0014701,              0.0014701
                    133,                0.87287,                0.40633,                 1.0315,                0.99743,                      1,                  0.995,                 0.6938,                0.90555,                0.39438,                 1.0818,              0.0014686,              0.0014686,              0.0014686
